# Matter power spectrum P(k) at redshift z=0
# for k=1.04906e-05 to 2118.28 h/Mpc,
# number of wavenumbers equal to 635
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.484395864356e-02       1.344477784877e+04 
       4.511276674219e-02       1.337039477172e+04 
       4.538724271743e-02       1.329574166841e+04 
       4.566773102324e-02       1.322081127062e+04 
       4.595460633677e-02       1.314561926506e+04 
       4.624827709326e-02       1.307005313469e+04 
       4.654918953930e-02       1.299418816643e+04 
       4.685783239579e-02       1.291790163884e+04 
       4.717474224094e-02       1.284120998380e+04 
       4.750050974679e-02       1.276402863241e+04 
       4.783578693169e-02       1.268639821772e+04 
       4.818129562704e-02       1.260822416200e+04 
       4.853783740148e-02       1.252945956632e+04 
       4.890630524214e-02       1.244999915966e+04 
       4.928769736367e-02       1.236985257500e+04 
       4.968313360557e-02       1.228893251235e+04 
       5.009387499254e-02       1.220708234296e+04 
       5.052134717760e-02       1.212433825576e+04 
       5.096716867268e-02       1.204051416464e+04 
       5.143318500729e-02       1.195553571053e+04 
       5.192151025585e-02       1.186920911826e+04 
       5.243457775415e-02       1.178141599063e+04 
       5.297520230259e-02       1.169193690552e+04 
       5.354665674144e-02       1.160053947335e+04 
       5.415276648717e-02       1.150701335639e+04 
       5.479802641417e-02       1.141092708826e+04 
       5.548774526651e-02       1.131189672628e+04 
       5.622822336838e-02       1.120948246985e+04 
       5.702696927419e-02       1.110289910169e+04 
       5.789295913302e-02       1.099137159995e+04 
       5.883693691878e-02       1.087372648101e+04 
       5.987174053675e-02       1.074855032066e+04 
       6.101261165531e-02       1.061389178030e+04 
       6.227739600649e-02       1.046703272906e+04 
       6.368645447681e-02       1.030458726655e+04 
       6.526198169263e-02       1.012192746303e+04 
       6.702630730538e-02       9.913285678577e+03 
       6.899877484001e-02       9.671882897255e+03 
       7.119122558461e-02       9.390769765074e+03 
       7.360317752310e-02       9.064447761470e+03 
       7.621904860706e-02       8.691270571053e+03 
       7.900976701472e-02       8.275473400680e+03 
       8.193877243213e-02       7.827858761029e+03 
       8.496944931030e-02       7.364335301745e+03 
       8.807054912876e-02       6.903095717146e+03 
       9.121829563593e-02       6.461605986277e+03 
       9.439598889272e-02       6.054263536679e+03 
       9.759251249585e-02       5.691052653550e+03 
       1.008007204995e-01       5.377184341502e+03 
       1.040161197787e-01       5.113371034575e+03 
       1.072359238514e-01       4.896511429654e+03 
       1.104584191765e-01       4.720567508084e+03 
       1.136825573745e-01       4.577436404082e+03 
       1.169076989396e-01       4.457883223147e+03 
       1.201334544131e-01       4.352383084524e+03 
       1.233595867837e-01       4.251972124580e+03 
